,,,,,,,,,,,,,,,
,1,Year,Date,Employee,WO/SO,Part #,Product Family,Operation,QTY,Target Time,Actual Time,QTY Complete,Actual Time/Unit,Target/Unit,Root Cause
,46,2019,11/14,DK,28250,1200-033,SecureSync,Test,10,320,210,10,21,32,
,46,2019,11/14,RD,28992,1200-H033-0600,SecureSync,Test,3,96,85,3,28,32,
,46,2019,11/14,RD,29198,1200-233,SecureSync,Test,8,256,150,5,30,32,
,46,2019,11/14,RD,29242,1200-033,SecureSync,Test,10,320,60,10,6,32,
,46,2019,11/14,RD,29124,1204-32,Option Cards,Test,12,120,60,12,5,10,
,46,2019,11/14,RD,29252,1200-011,SecureSync,Test,10,320,100,0,,32,
,46,2019,11/14,KP,29252,1200-011,SecureSync,Assembly,10,470,210,10,21,47,
,46,2019,11/14,KP,28993,1200-113,SecureSync,Assembly,5,235,260,0,,47,
,48,2019,11/26,PC,29523,PS06R-2Z1M-DT01,Kits,Assembly,10,50,360,10,36,5,
,49,2019,12/7,RD,29536,1204-24,Option Cards,Test,3,30,20,3,7,10,
,49,2019,12/7,RD,29695,1204-04,Option Cards,Test,6,60,40,6,7,10,
,49,2019,12/7,RD,29471,1204-05,Option Cards,Test,12,120,75,12,6,10,
,49,2019,12/7,RD,29453,1204-0F,Option Cards,Test,12,120,33,12,3,10,
,49,2019,12/7,RD,29468,1204-1E,Option Cards,Test,15,150,76,15,5,10,
,50,2019,12/10,EE,29542,1200-013,SecureSync,Assembly,10,470,393,10,39,47,
,50,2019,12/10,EE,29792,1200-013,SecureSync,Assembly,11,517,,0,,47,
,50,2019,12/9,JO,29691,1200-023,SecureSync,Assembly,10,470,420,10,42,47,
,50,2019,12/9,JO,29534,1200-033,SecureSync,Assembly,8,376,270,8,34,47,
,50,2019,12/9,JO,29872,1200-0437-0600,SecureSync,Assembly,8,376,30,0,,47,
,50,2019,12/9,DK,29548,1200-023,SecureSync,Test,2,64,150,2,75,32,
,50,2019,12/9,DK,29742,1204-05,Option Cards,Test,12,120,150,12,13,10,
